Designator,Footprint,Quantity,Value,LCSC Part #
"B+,B, B+,CH, B-,B, B-,CH, CLK, DT, GND, OUT+, OUT-, SW, VCC",PinHeader_1x01_P1.00mm_Vertical,11,Conn_01x01_Socket,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,16,1N4148WT,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_PCB_1.00u,16,SW_Push,
SW17,1P2T_SS-12D00_CNK,1,SS-12D00-G 4 E,
U1,Xiao_rp2040_AH_Pogo,1,XIAO-ESP32-C3-DIP,
